Year,e4,c4,d4,Nf3,d3,e3,f4,Other
1850,0.897727273,0,0,0,0,0,0,0.102272727
1851,0.770773639,0.080229226,0.094555874,0,0,0,0,0.054441261
1852,0.886792453,0,0.066037736,0,0,0,0,0.047169811
1853,0.761006289,0,0.075471698,0.094339623,0.050314465,0,0,0.018867925
1854,0.895833333,0,0.076388889,0,0,0,0,0.027777778
1855,0.816666667,0,0.13,0,0,0,0,0.053333333
1856,0.702290076,0,0.209923664,0,0,0,0,0.08778626
1857,0.881889764,0,0.102362205,0,0,0,0,0.015748031
1858,0.899038462,0,0.067307692,0,0,0,0,0.033653846
1859,0.948453608,0,0,0,0,0,0,0.051546392
1860,0.948387097,0,0,0,0,0,0,0.051612903
1861,0.892045455,0,0,0,0,0,0,0.107954545
1862,0.907590759,0,0,0,0,0,0,0.092409241
1863,0.94,0,0,0,0,0,0,0.06
1864,0.941520468,0,0,0,0,0,0,0.058479532
1865,0.972222222,0,0,0,0,0,0,0.027777778
1866,0.951219512,0,0,0,0,0,0,0.048780488
1867,0.882352941,0,0,0,0,0,0,0.117647059
1868,0.893939394,0,0,0,0,0.053030303,0,0.053030303
1869,0.87,0,0.05,0,0,0,0.06,0.02
1870,0.894736842,0,0.059210526,0,0,0,0,0.046052632
1871,0.851851852,0,0.080246914,0,0,0,0,0.067901235
1872,0.910714286,0,0,0,0,0,0,0.089285714
1873,0.805447471,0,0.097276265,0,0,0,0,0.097276265
1874,0.846153846,0,0.085470085,0,0,0,0,0.068376068
1875,0.778947368,0.063157895,0.084210526,0,0,0,0,0.073684211
1876,0.828220859,0,0.079754601,0,0,0,0,0.09202454
1877,0.909836066,0,0.057377049,0,0,0,0,0.032786885
1878,0.827433628,0,0.053097345,0,0,0,0,0.119469027
1879,0.912408759,0,0,0,0,0,0,0.087591241
1880,0.816816817,0,0.087087087,0,0,0,0,0.096096096
1881,0.813953488,0,0.055813953,0,0,0,0,0.130232558
1882,0.814371257,0,0.110778443,0,0,0,0,0.074850299
1883,0.784070796,0,0.081415929,0,0,0,0,0.134513274
1884,0.8,0.141176471,0,0,0,0,0,0.058823529
1885,0.862068966,0,0.068965517,0,0,0,0,0.068965517
1886,0.742574257,0,0.118811881,0,0,0,0,0.138613861
1887,0.815789474,0,0.134502924,0,0,0,0,0.049707602
1888,0.871212121,0,0.060606061,0,0,0,0,0.068181818
1889,0.842776204,0,0.084985836,0,0,0,0,0.07223796
1890,0.782894737,0,0.131578947,0,0,0,0,0.085526316
1891,0.810606061,0,0.068181818,0.053030303,0,0,0,0.068181818
1892,0.820441989,0,0.08839779,0,0,0,0,0.091160221
1893,0.820441989,0,0.11878453,0,0,0,0,0.060773481
1894,0.75862069,0,0.175287356,0,0,0,0,0.066091954
1895,0.727520436,0,0.220708447,0,0,0,0,0.051771117
1896,0.775551102,0,0.21242485,0,0,0,0,0.012024048
1897,0.818181818,0,0.144385027,0,0,0,0,0.037433155
1898,0.701149425,0,0.260536398,0,0,0,0,0.038314176
1899,0.691262136,0,0.27184466,0,0,0,0,0.036893204
1900,0.72605042,0,0.255462185,0,0,0,0,0.018487395
1901,0.758333333,0,0.211111111,0,0,0,0,0.030555556
1902,0.731707317,0,0.234521576,0,0,0,0,0.033771107
1903,0.812101911,0,0.152866242,0,0,0,0,0.035031847
1904,0.731117825,0,0.235649547,0,0,0,0,0.033232628
1905,0.649546828,0,0.304128902,0,0,0,0,0.04632427
1906,0.61627907,0,0.356589147,0,0,0,0,0.027131783
1907,0.641638225,0,0.323094425,0,0,0,0,0.035267349
1908,0.639322917,0,0.334635417,0,0,0,0,0.026041667
1909,0.658627087,0,0.319109462,0,0,0,0,0.022263451
