Year,e4 e5,e4 c5,e4 e6,e4 d6,d4 Nf6,d4 d5,Other
1850,0.715909090909,0.0,0.0227272727273,0.0454545454545,0.0,0.0,0.215909090909
1851,0.530085959885,0.0,0.080229226361,0.00286532951289,0.0,0.0,0.386819484241
1852,0.716981132075,0.0,0.0660377358491,0.0471698113208,0.0,0.0,0.169811320755
1853,0.59748427673,0.0,0.0251572327044,0.0566037735849,0.0,0.0,0.320754716981
1854,0.611111111111,0.0,0.0208333333333,0.215277777778,0.0,0.0,0.152777777778
1855,0.69,0.0,0.0466666666667,0.0266666666667,0.0,0.0,0.236666666667
1856,0.419847328244,0.0,0.0992366412214,0.0,0.0,0.0,0.480916030534
1857,0.641732283465,0.0,0.0590551181102,0.0,0.0,0.0,0.299212598425
1858,0.605769230769,0.0,0.0817307692308,0.0,0.0,0.0,0.3125
1859,0.778350515464,0.0,0.0515463917526,0.0,0.0,0.0,0.170103092784
1860,0.845161290323,0.0,0.0322580645161,0.0,0.0,0.0,0.122580645161
1861,0.659090909091,0.0,0.147727272727,0.0,0.0,0.0,0.193181818182
1862,0.650165016502,0.0,0.0627062706271,0.0,0.0,0.0,0.287128712871
1863,0.8,0.0,0.04,0.0,0.0,0.0,0.16
1864,0.859649122807,0.0,0.0175438596491,0.0,0.0,0.0,0.122807017544
1865,0.833333333333,0.0,0.0444444444444,0.0,0.0,0.0,0.122222222222
1866,0.839024390244,0.0,0.0634146341463,0.0,0.0,0.0,0.0975609756098
1867,0.718487394958,0.0,0.0420168067227,0.0,0.0,0.0,0.239495798319
1868,0.666666666667,0.0,0.0530303030303,0.0,0.0,0.0,0.280303030303
1869,0.79,0.0,0.0,0.0,0.0,0.0,0.21
1870,0.75,0.0,0.0723684210526,0.0,0.0,0.0,0.177631578947
1871,0.697530864198,0.0,0.0802469135802,0.0,0.0,0.0,0.222222222222
1872,0.75,0.0,0.0982142857143,0.0,0.0,0.0,0.151785714286
1873,0.571984435798,0.0,0.155642023346,0.0,0.0,0.0,0.272373540856
1874,0.709401709402,0.0,0.0854700854701,0.0,0.0,0.0,0.205128205128
1875,0.642105263158,0.0,0.0526315789474,0.0,0.0,0.0,0.305263157895
1876,0.613496932515,0.0,0.128834355828,0.0,0.0,0.0,0.257668711656
1877,0.729508196721,0.0,0.0901639344262,0.0,0.0,0.0,0.180327868852
1878,0.535398230088,0.0,0.146017699115,0.0,0.0,0.0,0.318584070796
1879,0.678832116788,0.0,0.102189781022,0.0,0.0,0.0,0.21897810219
1880,0.516516516517,0.0,0.15015015015,0.0,0.0,0.039039039039,0.294294294294
1881,0.506976744186,0.0,0.139534883721,0.0,0.0,0.0279069767442,0.325581395349
1882,0.526946107784,0.0,0.14371257485,0.0,0.0,0.0479041916168,0.281437125749
1883,0.49203539823,0.0,0.171681415929,0.0,0.0,0.0371681415929,0.299115044248
1884,0.635294117647,0.0,0.0941176470588,0.0,0.0,0.0117647058824,0.258823529412
1885,0.581896551724,0.0,0.155172413793,0.0,0.0,0.0431034482759,0.219827586207
1886,0.623762376238,0.0,0.0693069306931,0.0,0.0,0.0891089108911,0.217821782178
1887,0.576023391813,0.0,0.12865497076,0.0,0.0,0.0964912280702,0.198830409357
1888,0.628787878788,0.0,0.151515151515,0.0,0.0,0.0530303030303,0.166666666667
1889,0.582152974504,0.0,0.0396600566572,0.0,0.0,0.0609065155807,0.317280453258
1890,0.608552631579,0.0,0.108552631579,0.0,0.0,0.105263157895,0.177631578947
1891,0.651515151515,0.0,0.0909090909091,0.0,0.0,0.0606060606061,0.19696969697
1892,0.599447513812,0.0,0.0966850828729,0.0,0.0,0.0745856353591,0.229281767956
1893,0.596685082873,0.0,0.116022099448,0.0,0.0,0.0966850828729,0.190607734807
1894,0.557471264368,0.0,0.0977011494253,0.0,0.0,0.155172413793,0.189655172414
1895,0.476839237057,0.0,0.0762942779292,0.0,0.0,0.130790190736,0.316076294278
1896,0.653306613226,0.0,0.0661322645291,0.0,0.0,0.172344689379,0.108216432866
1897,0.633689839572,0.0,0.120320855615,0.0,0.0,0.128342245989,0.117647058824
1898,0.54214559387,0.0,0.0900383141762,0.0,0.0,0.2030651341,0.164750957854
1899,0.499029126214,0.0,0.104854368932,0.0,0.0,0.223300970874,0.172815533981
1900,0.556302521008,0.0,0.0621848739496,0.0,0.0,0.231932773109,0.149579831933
1901,0.536111111111,0.0,0.0666666666667,0.0,0.0,0.177777777778,0.219444444444
1902,0.547842401501,0.0,0.0825515947467,0.0,0.0,0.21200750469,0.157598499062
1903,0.62101910828,0.0,0.0398089171975,0.0,0.0,0.122611464968,0.216560509554
